3,1766,34,0,0,3,7,8,114,0,7339,0,11866,12,1,27,39,399,250,0,9,419,28,94,10615,1719,7732,21,16,11,761,1,1,443,9,118,2978,1884,143,5,7,3227,30,962,377,35,4,2,67,0,233,6,0,0,1,2,3,5,1,1763,0,1446,2,1,5,15,393,149,0,1,10,15,2,2540,1405,2077,1,11,4,157,1,0,133,6
90,589,15822,8,2,19,279,78,55,40,17367,8,4001,146,2,145,6774,9093,12086,2,717,295,4385,113,1719,127174,46585,314,236,856,6009,15,13,5767,262,3011,12167,13513,2114,135,150,227,259,1403,723,224,17,11,7,3,447,442,1,1,0,13,2,9,0,630,1,472,7,0,76,158,497,578,0,18,85,175,12,822,3433,5560,20,10,24,77,0,1,238,211
183,11856,23207,12,0,15,633,81,644,56,3102,4,6395,204,6,9445,6967,1128,3177,10,1830,8519,25513,1396,7732,46585,221812,1592,270,1386,2989,5,46,5402,794,6798,16743,15810,3966,526,358,251,1325,4543,2367,1005,81,66,25,19,2590,3338,3,0,6,216,10,73,9,825,6,551,23,1,1078,940,801,1368,1,206,1173,2401,101,1356,8644,22335,172,36,207,95,3,5,797,613
922,164,1234,15889,4,477,31154,1304,3522,9474,19,890,74,2066,114,2119,399,6,47,4718,15837,1954,8593,24980,21,314,1592,98325,2586,17515,1,32,512,1791,663,4593,979,3255,680,960,319,22,960,144,507,173,511,120,6,373,16,73,418,2,174,1596,481,1213,471,3,500,4,673,86,281,11,0,2,385,127,266,365,2458,1,13,197,1238,799,767,0,6,105,286,230
15067,30,180,323,801,2711,4947,5684,1323,2363,285,1003,175,23448,133,49,404,23,95,628,680,340,742,3006,16,236,270,2586,122853,11346,6,3624,10728,11938,471,3667,341,6361,565,2143,3173,125,365,42,163,79,141,46,0,144,7,16,71,1,37,532,159,403,100,4,101,5,226,16,40,2,0,3,88,21,57,36,902,2,4,39,417,277,254,0,0,33,101,171
5849,89,1841,53,5,86,21557,888,1283,236,25,37,77,2970,19,327,2149,15,179,40,26923,838,9389,2878,11,856,1386,17515,11346,84613,2,15,1073,8897,577,3199,694,4873,797,416,226,32,429,94,251,111,126,37,2,138,12,65,23,0,27,466,113,353,49,4,54,0,221,4,131,7,1,1,28,84,162,218,859,1,26,222,468,307,375,0,1,56,124,229
0,18,9,0,0,1,0,0,2,1,5736,0,4916,5,0,1,24,347,179,0,2,4,8,3,761,6009,2989,1,6,2,2593,0,0,316,2,54,1047,1038,74,1,3,160,2,114,61,5,0,3,12,0,12,1,0,0,0,0,1,1,0,263,0,219,0,0,0,3,53,19,0,0,2,1,0,222,201,308,0,2,0,18,1,0,22,3
30,0,2,9,4289,1814,65,3551,11,87,53,69,39,2794,21,0,3,3,10,25,3,2,11,29,1,15,5,32,3624,15,0,6733,10,3227,14,204,38,550,35,468,6888,46,2,0,2,0,2,0,1,0,0,0,0,0,0,1,0,3,1,2,1,2,0,0,0,0,0,0,1,0,0,1,9,0,0,0,2,0,1,0,0,0,0,6
165,8,13,37,0,16,481,98,246,118,5,20,16,318,10,12,34,1,4,30,108,86,117,570,1,13,46,512,10728,1073,0,10,6164,2337,98,331,48,1437,100,57,74,7,71,6,32,14,16,7,1,27,1,1,7,0,8,88,23,79,12,0,13,1,44,3,7,0,0,0,8,5,3,12,169,0,2,6,77,54,54,0,1,10,8,27
579,162,1391,90,985,1170,1280,1903,460,756,12469,488,3239,3781,59,334,5417,1108,5042,210,7029,529,7284,1222,443,5767,5402,1791,11938,8897,316,3227,2337,48018,522,2935,2931,53363,1956,1249,3533,2425,229,215,196,122,76,22,3,48,53,155,26,0,10,221,43,169,40,99,24,74,80,2,162,31,42,39,19,61,131,236,324,95,284,744,178,118,131,9,0,12,95,253
